"tumour","X204653_at","X209016_s_at","X218502_s_at","X209604_s_at","X202831_at","X202859_x_at","X212236_x_at"
1,118.2,183.5,131.1,65.8,10,49.9,790.1
1,17.6,10,10,16.3,209.4,77.6,10
1,106.7,224.9,199.1,437.5,10,19.2,52.6
1,134.3,266.4,248.3,619.8,10,10,71.1
1,76.1,182,70,681.4,24.8,15.9,82
1,87.25,264.1,54.55,414.3,78.5,17.2,211.3
1,194.4,23.4,222.5,693.1,10,15.4,14.3
1,116.4,16.8,112.8,421.5,10,10,13.6
1,127.9,574.1,43.5,185.1,13.4,14.5,11.4
1,119.3,412.6,43.7,166.8,10,12.1,10
1,244.6,58.6,70.7,965.4,11.4,18,60.8
1,285.7,111.1,89,1178.5,10,22.6,150.1
1,168.05,134.5,98.8,1023,10,12.55,86.15
1,129.8,96.95,89.35,747.2,10,10,79.5
1,305.1,10,17.7,901.7,11.9,21.3,10
1,317.9,10,12.4,940.4,24.4,19.9,21.7
1,208.1,56.2,168.9,929.1,10,13.7,155.9
1,313.1,12.2,553.9,1625.5,10,28.4,59.6
1,227.9,66.9,81.4,32.5,18.3,125,490.4
1,240.7,70.6,94,41.2,10,93.3,365.5
1,126.4,299.7,112,687,10,12.3,73.1
1,124.6,256.2,106.4,337.9,10,14.6,253.6
1,125.8,319.7,206.1,112.8,10,87.2,550.8
1,192.5,375.9,252.3,100.5,10,41,446
1,97,364.1,29.6,151.7,11.9,38.2,190.1
1,102.5,81.3,146.1,765.6,10,32.1,205.6
1,223.7,10,137.7,1010.3,10,16,10
1,276.2,10,193.7,1136.5,10,17.1,10
1,89.5,484.4,67.2,133.7,10,82.6,46.4
1,161,336.9,105.4,255.5,10,53.7,67
1,216.2,192.6,90.7,690.1,10,28.5,85.1
1,162.1,161.7,76.4,519.8,10,13.3,37.7
1,188.7,277.6,184.2,78.2,10,33.8,347.2
1,128.3,10,51.9,40.4,10,14.7,458.6
1,101.4,663.4,117.7,62.6,10,10,76.9
1,70.7,615.6,365.7,79.3,10,10,38.7
1,145.4,606.2,527.6,73.1,10,26.5,390.6
1,111.4,285.3,392.1,85.5,10,16.1,217.4
1,445.9,325.4,261.8,1053.6,10,34.4,18.6
1,466.2,377.1,581.3,1423,10,22.9,10
1,692,160.6,204.5,1862.2,10.7,10.1,211
1,601.7,200.3,216.5,1640,14.7,18.4,179.4
1,115.3,123.85,150.7,1203.2,10,15.25,20.3
1,114.6,133.75,171,1120.2,10,14.25,13.55
1,125.85,57.65,177.05,1006.5,10,10.25,13.45
1,143.2,52.6,136.25,957.7,10,10.15,20.4
1,134.3,59,99.7,681.1,16,84,59.8
1,123.7,134.8,103.1,590.4,12.9,65.2,19.7
1,102.9,561.2,178.8,1452,10,10,28.2
1,138.7,316.3,176,1372.3,10,10,30.2
1,146.4,221.2,120.7,1034.6,10,10.8,11.8
1,91.1,212.1,67.2,821.5,10,10,34.3
1,135,261.1,221.2,102.1,13.6,24.5,30.7
1,140.6,253.3,222.1,89.5,10,10,31.8
1,107.7,362.4,30,727,10,19.1,14.9
1,89.8,279.2,126.5,949.9,10,13.8,93.5
1,164.7,32.2,224.5,538.5,10,12.1,56.8
1,242,31.5,218.4,819.3,10,16.6,58.1
1,379.2,27.3,123.4,1555,10,17.3,33.6
1,358.4,32.7,131.3,1818.2,18.3,24.1,37.5
1,167.9,46.9,197,922.8,10,18.3,35.7
1,217,82,193,988.1,10,10.7,10.7
0,10,10,29.5,22.6,21.4,40.4,10
0,18,10,10,18.5,531.7,103.5,36.6
0,10,10,10,13.9,810.6,196.1,11.6
0,10,10,10,14.9,612.1,206.7,25.3
0,10,10,27.8,46.3,76.6,144.6,17.7
0,10,10,10,15.3,807.9,282.7,13.7
0,10,10,12,21.6,251.1,173.2,10
0,10.3,10,10,11.8,610,379.7,14.7
0,75.8,27.4,138.4,253.7,2652.7,1344,60.6
0,52.5,24.4,55.6,132.3,4022.1,785,58.2
0,94.8,29.1,201,174.6,2215.9,2582.9,357.6
0,83.8,87.4,309.3,418.2,2259.9,1599.9,1679.7
0,49.2,30.7,78.2,169.8,4543.6,1267.3,147
0,70.1,10,51.6,182.3,2469,1810.2,100.6
0,35,10,10.3,22.3,528.1,805.5,28.3
0,40.2,10,10,20.7,687.9,54,19.7
0,67.3,10,10,18.4,148.5,582.3,11.4
0,26.7,10,10,29.8,186.7,160.3,10
0,10,10,12.1,38.4,599.7,84.4,25.2
0,12.2,10,22.1,22,489.6,28,19.8
0,26.9,21.2,14.5,24.1,280.6,406.4,14.8
0,12.3,10,10,11.95,244.35,73.2,24.9
0,10,10,10,20.6,775.7,32.7,10
0,10.6,10,10,25.8,724.9,24.1,12.4
0,36.2,52,28.2,39.9,532.2,1484.4,13.2
0,13.9,25.4,20.6,37.7,369.6,869.3,11.7
0,10,12.9,10,16.3,526.4,677.3,123.5
0,10,10,10,15.9,516.1,304.7,48.3
0,10,10,20.8,27.3,166.9,114,11
0,14.6,10,11.5,26.1,519.6,88,13.4
0,10,10,10,19,363.3,387.2,22.4
0,10.5,10,10,20,490.5,561.3,38.9
0,13.5,10,10.2,21.6,291.1,62.9,10
0,107.1,366.9,93.7,48.9,10,78.5,2056.7
0,10,22.6,29.3,30.5,47.7,1066.7,29.6
